run,split,strategy_C2,n_features,bins_used_delta_vs_C2_mean,bins_used_delta_vs_C2_median,bins_used_delta_vs_C2_min,bins_used_delta_vs_C2_max,used_bin_ratio_delta_vs_C2_mean,used_bin_ratio_delta_vs_C2_median,used_bin_ratio_delta_vs_C2_min,used_bin_ratio_delta_vs_C2_max,dominant_bin_ratio_delta_vs_C2_mean,dominant_bin_ratio_delta_vs_C2_median,dominant_bin_ratio_delta_vs_C2_min,dominant_bin_ratio_delta_vs_C2_max,rare_used_bin_ratio_le5_delta_vs_C2_mean,rare_used_bin_ratio_le5_delta_vs_C2_median,rare_used_bin_ratio_le5_delta_vs_C2_min,rare_used_bin_ratio_le5_delta_vs_C2_max,rare_cell_ratio_trainref_le5_delta_vs_C2_mean,rare_cell_ratio_trainref_le5_delta_vs_C2_median,rare_cell_ratio_trainref_le5_delta_vs_C2_min,rare_cell_ratio_trainref_le5_delta_vs_C2_max,unseen_cell_ratio_trainref_delta_vs_C2_mean,unseen_cell_ratio_trainref_delta_vs_C2_median,unseen_cell_ratio_trainref_delta_vs_C2_min,unseen_cell_ratio_trainref_delta_vs_C2_max,entropy_norm_delta_vs_C2_mean,entropy_norm_delta_vs_C2_median,entropy_norm_delta_vs_C2_min,entropy_norm_delta_vs_C2_max,compression_factor_delta_vs_C2_mean,compression_factor_delta_vs_C2_median,compression_factor_delta_vs_C2_min,compression_factor_delta_vs_C2_max,offset_nonzero_ratio_delta_vs_C2_mean,offset_nonzero_ratio_delta_vs_C2_median,offset_nonzero_ratio_delta_vs_C2_min,offset_nonzero_ratio_delta_vs_C2_max,offset_std_delta_vs_C2_mean,offset_std_delta_vs_C2_median,offset_std_delta_vs_C2_min,offset_std_delta_vs_C2_max
K1024_ABS_CONTROL,train,constant,3,0.0,0.0,0.0,0.0,-0.0009765625,-0.0009765625,-0.0009765625,-0.0009765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0
K1024_ABS_CONTROL,train,discrete_compact_offset0,23,0.0,0.0,0.0,0.0,-0.04500679347826087,-0.0390625,-0.1201171875,-0.001953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K1024_ABS_CONTROL,train,keep_current,14,-20.714285714285715,0.0,-450.0,275.0,-0.37423270089285715,-0.2998046875,-0.939453125,-0.1416015625,0.07422013092292126,0.0016746309412065882,-0.004031913985834969,0.6250533321955798,0.10872219340716446,0.031086621436469397,-0.00425070483626111,0.728,0.0007573171772335526,0.0,-0.007551838894103592,0.010303780186022697,0.0,0.0,0.0,0.0,-0.07829500187084007,-0.0027900728362783567,-0.4660829622949175,0.001994288902244845,89.23391151109514,0.0,-31.991790422490467,664.5098286290323,0.08073275389172653,-2.1332878231916652e-05,-0.19459851523167504,0.8384674460278181,0.0149147736706904,0.00035521388053894043,-0.014788568019866943,0.10338295996189117
K1024_ABS_CONTROL,train,rank_uniform_offset,15,-107.66666666666667,-141.0,-368.0,136.0,-0.6051432291666666,-0.6376953125,-0.859375,-0.3671875,0.019172568762977498,0.0022186193361208306,-0.0243194811844014,0.07295844355320419,0.450483266782062,0.41353383458646614,0.2877094972067039,0.7040816326530612,0.006512216628267485,0.0059945387831726255,0.0027306084136871746,0.01173308302756208,0.0,0.0,0.0,0.0,-0.10433465698660464,-0.046108766686114744,-0.31794427902572886,-0.008830696578014274,60.99244025226513,34.79571681266846,-19.215181327160494,233.97309027777777,0.0005404329152089401,-2.1332878231916652e-05,-2.1332878231916652e-05,0.006058537417868437,0.003465704123179118,0.0010800659656524658,-0.020670711994171143,0.0710425078868866
K1024_ABS_CONTROL,val,constant,3,0.0,0.0,0.0,0.0,-0.0009765625,-0.0009765625,-0.0009765625,-0.0009765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0
K1024_ABS_CONTROL,val,discrete_compact_offset0,23,0.0,0.0,-1.0,1.0,-0.03192934782608696,-0.0302734375,-0.103515625,-0.001953125,0.0,0.0,0.0,0.0,0.0009836710603974021,0.0,-0.01583710407239819,0.038461538461538436,3.709749220952666e-06,0.0,0.0,8.532423208191132e-05,0.0,0.0,0.0,0.0,-0.0003200680390578313,0.0,-0.010691877904648706,0.0033354370776991216,-3.0742999540953484,0.0,-75.12820512820508,4.419306184012072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K1024_ABS_CONTROL,val,keep_current,14,-31.0,0.0,-395.0,169.0,-0.3291015625,-0.32275390625,-0.8232421875,-0.044921875,0.07443320331545587,0.001621160409556316,-0.004351535836177475,0.6286689419795222,0.07641963394291285,0.01574962921440165,-0.23787061994609165,0.5449901311970278,0.0011518771331058028,0.0,-0.00955631399317406,0.014846416382252559,0.0008959044368600684,0.0005546075085324232,-8.532423208191132e-05,0.0028156996587030718,-0.0687908331596561,-1.8246457496906218e-05,-0.37402575084109474,0.005039195037009392,35.502924809677296,0.0,-6.59501215329804,194.97136118598382,0.07921136031204289,0.0,-0.19112627986348119,0.8358361774744026,0.01491383755845683,0.00125962495803833,-0.01321682333946228,0.1022057831287384
K1024_ABS_CONTROL,val,rank_uniform_offset,15,-202.6,-198.0,-418.0,-19.0,-0.6900390625,-0.681640625,-0.908203125,-0.5146484375,0.01826507394766781,0.0020477815699658647,-0.02679180887372013,0.06953924914675769,0.15849583909063328,0.12636803675445074,-0.22240468370698274,0.43885216346153844,0.008014789533560863,0.007081911262798635,0.0031569965870307166,0.013651877133105802,0.002053469852104664,0.0020477815699658703,0.0009385665529010238,0.003242320819112628,-0.058987673392505845,-0.016256164252621108,-0.23160694869575882,0.031126993910508993,35.02007251297649,15.367947019867547,0.8821944726166322,101.79022606382979,0.0005915813424345773,0.0,-8.532423208196249e-05,0.006655290102389078,0.00354763666788737,0.001733243465423584,-0.021290838718414307,0.07039704918861389
K1024_RANK_SAFE,train,constant,3,0.0,0.0,0.0,0.0,-0.0009765625,-0.0009765625,-0.0009765625,-0.0009765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0
K1024_RANK_SAFE,train,discrete_compact_offset0,23,0.0,0.0,0.0,0.0,-0.04500679347826087,-0.0390625,-0.1201171875,-0.001953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K1024_RANK_SAFE,train,keep_current,14,-20.714285714285715,0.0,-450.0,275.0,-0.37423270089285715,-0.2998046875,-0.939453125,-0.1416015625,0.07422013092292126,0.0016746309412065882,-0.004031913985834969,0.6250533321955798,0.10872219340716446,0.031086621436469397,-0.00425070483626111,0.728,0.0007573171772335526,0.0,-0.007551838894103592,0.010303780186022697,0.0,0.0,0.0,0.0,-0.07829500187084007,-0.0027900728362783567,-0.4660829622949175,0.001994288902244845,89.23391151109514,0.0,-31.991790422490467,664.5098286290323,0.08073275389172653,-2.1332878231916652e-05,-0.19459851523167504,0.8384674460278181,0.0149147736706904,0.00035521388053894043,-0.014788568019866943,0.10338295996189117
K1024_RANK_SAFE,train,rank_uniform_offset,15,512.0,512.0,512.0,512.0,0.0,0.0,0.0,0.0,-0.003839918081747588,-0.0003626589299428294,-0.014463691441249253,-8.533151292772212e-05,0.06341145833333334,0.0009765625,0.0009765625,0.9375,0.005950450834826634,2.133287823193105e-05,2.133287823193105e-05,0.08895810222715249,0.0,0.0,0.0,0.0,-0.019979348157426288,-0.013182500911173234,-0.047963417120925,0.006927400302261133,-45.77734375,-45.77734375,-45.77734375,-45.77734375,-0.0004636345535739809,-2.1332878231916652e-05,-0.012757061182694707,0.006015871661404493,-0.001981594165166219,-0.0020027756690979004,-0.02973306179046631,0.022533893585205078
K1024_RANK_SAFE,val,constant,3,0.0,0.0,0.0,0.0,-0.0009765625,-0.0009765625,-0.0009765625,-0.0009765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0
K1024_RANK_SAFE,val,discrete_compact_offset0,23,0.0,0.0,-1.0,1.0,-0.03192934782608696,-0.0302734375,-0.103515625,-0.001953125,0.0,0.0,0.0,0.0,0.0009836710603974021,0.0,-0.01583710407239819,0.038461538461538436,3.709749220952666e-06,0.0,0.0,8.532423208191132e-05,0.0,0.0,0.0,0.0,-0.0003200680390578313,0.0,-0.010691877904648706,0.0033354370776991216,-3.0742999540953484,0.0,-75.12820512820508,4.419306184012072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K1024_RANK_SAFE,val,keep_current,14,-31.0,0.0,-395.0,169.0,-0.3291015625,-0.32275390625,-0.8232421875,-0.044921875,0.07443320331545587,0.001621160409556316,-0.004351535836177475,0.6286689419795222,0.07641963394291285,0.01574962921440165,-0.23787061994609165,0.5449901311970278,0.0011518771331058028,0.0,-0.00955631399317406,0.014846416382252559,0.0008959044368600684,0.0005546075085324232,-8.532423208191132e-05,0.0028156996587030718,-0.0687908331596561,-1.8246457496906218e-05,-0.37402575084109474,0.005039195037009392,35.502924809677296,0.0,-6.59501215329804,194.97136118598382,0.07921136031204289,0.0,-0.19112627986348119,0.8358361774744026,0.01491383755845683,0.00125962495803833,-0.01321682333946228,0.1022057831287384
K1024_RANK_SAFE,val,rank_uniform_offset,15,433.8,465.0,204.0,511.0,-0.0685546875,-0.0439453125,-0.2373046875,-0.0009765625,-0.0038168373151308273,-0.0005119453924914696,-0.014931740614334468,-8.532423208190698e-05,0.29592963792932026,0.32541545121648463,0.03825812637243675,0.397420327970297,0.0057906712172923775,0.0,0.0,0.08660409556313993,0.0,0.0,0.0,0.0,-0.017333475894271807,-0.014462822577503032,-0.0436849062120368,0.007647656767017619,-10.613621026595332,-10.959879336349925,-11.434124511241446,-8.216167176981209,0.00010238907849829578,0.0,-0.005972696245733711,0.006655290102389078,-0.0018649200598398845,-0.003428041934967041,-0.03013816475868225,0.02173405885696411
