feature,c2_bins_used,c2_dead_bins_ratio,c2_preserve_ratio,c2_compression_factor,c2_entropy_norm,c2_dominant_bin_ratio,c2_rare_used_bin_ratio_le5,c2_offset_nonzero_ratio,c2_offset_unique_count,c2_used_odd_bin_ratio,k1024_strategy,raw_unique,k1024_bins_used,k1024_dead_bins_ratio,k1024_preserve_ratio,k1024_compression_factor,k1024_entropy_norm,k1024_dominant_bin_ratio,k1024_rare_used_bin_ratio_le5,k1024_offset_nonzero_ratio,k1024_offset_unique_count,k1024_used_odd_bin_ratio,delta_bins_used,delta_entropy_norm,delta_rare_used_bin_ratio_le5
pslist.nproc,105,0.794921875,1.0,1.0,0.5634949111118889,0.1704496970731291,0.47619047619047616,0.0,1,0.49523809523809526,discrete_compact_offset0,105,105,0.8974609375,1.0,1.0,0.5634949111118889,0.1704496970731291,0.47619047619047616,0.0,1,0.49523809523809526,0,0.0,0.0
pslist.nppid,48,0.90625,1.0,1.0,0.5190073122926573,0.28150866114856216,0.5625,0.0,1,0.5,discrete_compact_offset0,48,48,0.953125,1.0,1.0,0.5190073122926573,0.28150866114856216,0.5625,0.0,1,0.5,0,0.0,0.0
pslist.avg_threads,512,0.0,1.0,44.125,0.883099511072012,0.03716187388002389,0.0,0.9999786671217681,22592,0.5,rank_replaced_by_abs_uniform_control,22592,648,0.3671875,0.6328125,34.864197530864196,0.8742688144939977,0.012842392695622493,0.4228395061728395,0.9999573342435362,22334,0.5108024691358025,136,-0.008830696578014274,0.4228395061728395
pslist.nprocs64bit,1,0.998046875,1.0,1.0,0.0,1.0,0.0,1.0,1,0.0,constant,1,1,0.9990234375,1.0,1.0,0.0,1.0,0.0,0.0,1,0.0,0,0.0,0.0
pslist.avg_handlers,512,0.0,1.0,58.611328125,0.957794232611417,0.015125010666439115,0.0,0.9997440054612168,3752,0.5,rank_replaced_by_abs_uniform_control,30009,322,0.685546875,0.314453125,93.19565217391305,0.7668358088563704,0.05070825155730011,0.5652173913043478,0.9999573342435362,29558,0.4937888198757764,-190,-0.19095842375504668,0.5652173913043478
dlllist.ndlls,512,0.0,1.0,3.46484375,0.8525194789024727,0.028351395170236368,0.130859375,0.9999786671217681,1774,0.5,keep_current,1774,787,0.2314453125,0.7685546875,2.2541296060991107,0.8282982084204537,0.038783172625650654,0.33672172808132145,0.9999573342435362,1773,0.5006353240152478,275,-0.024221270482019053,0.20586235308132145
dlllist.avg_dlls_per_proc,512,0.0,1.0,26.03515625,0.8727011258819214,0.04057513439713286,0.0,0.9999786671217681,13330,0.5,rank_replaced_by_abs_uniform_control,13330,624,0.390625,0.609375,21.362179487179485,0.8280985256850129,0.03571123816025258,0.3894230769230769,0.9999573342435362,13230,0.5160256410256411,112,-0.04460260019690854,0.3894230769230769
handles.nhandles,512,0.0,1.0,14.041015625,0.9198092477997551,0.01565833262223739,0.0,0.9981867053502859,1798,0.5,rank_replaced_by_abs_uniform_control,7189,371,0.6376953125,0.3623046875,19.37735849056604,0.7979461354706138,0.035263247717382026,0.3423180592991914,0.9999573342435362,7188,0.48787061994609165,-141,-0.12186311232914138,0.3423180592991914
handles.avg_handles_per_proc,512,0.0,1.0,58.109375,0.9584890477296151,0.012181073470432631,0.0,0.9999786671217681,29752,0.5,rank_replaced_by_abs_uniform_control,29752,253,0.7529296875,0.2470703125,117.59683794466403,0.7957429124524033,0.05538015189009301,0.45454545454545453,0.9999573342435362,29311,0.48221343873517786,-259,-0.16274613527721182,0.45454545454545453
handles.nport,1,0.998046875,1.0,1.0,0.0,1.0,0.0,1.0,1,0.0,constant,1,1,0.9990234375,1.0,1.0,0.0,1.0,0.0,0.0,1,0.0,0,0.0,0.0
handles.nfile,297,0.419921875,0.580078125,3.68013468013468,0.9654571679022621,0.016660977899138153,0.0,0.16148988821571805,632,0.4781144781144781,keep_current,1093,125,0.8779296875,0.1220703125,8.744,0.4993742056073446,0.2914284495264101,0.728,0.9999573342435362,1092,0.52,-172,-0.4660829622949175,0.728
handles.nevent,493,0.037109375,0.962890625,6.738336713995944,0.9947520106426578,0.004629234576329039,0.0,0.5374818670535029,2316,0.4949290060851927,keep_current,3322,655,0.3603515625,0.6396484375,5.071755725190839,0.8428843942005663,0.02818073214438092,0.29770992366412213,0.9999573342435362,3321,0.4946564885496183,162,-0.15186761644209157,0.29770992366412213
handles.ndesktop,60,0.8828125,1.0,1.0,0.6624280875401419,0.16539380493216144,0.16666666666666666,0.0,1,0.5,discrete_compact_offset0,60,60,0.94140625,1.0,1.0,0.6624280875401419,0.16539380493216144,0.16666666666666666,0.0,1,0.5,0,0.0,0.0
handles.nkey,512,0.0,1.0,2.0703125,0.8172767122869657,0.030911340558068094,0.2265625,0.9999786671217681,1060,0.5,keep_current,1060,522,0.490234375,0.509765625,2.0306513409961684,0.7966202496672807,0.03426060244048127,0.31226053639846746,0.9999573342435362,1059,0.49616858237547895,10,-0.020656462619685012,0.08569803639846746
handles.nthread,512,0.0,1.0,2.244140625,0.8934861158109448,0.016554313507978497,0.166015625,0.9980373752026623,624,0.5,keep_current,1149,746,0.271484375,0.728515625,1.5402144772117963,0.8879059701383881,0.012522399522143528,0.24128686327077747,0.9994240122877378,546,0.5026809651474531,234,-0.005580145672556713,0.07527123827077747
handles.ndirectory,104,0.796875,1.0,1.0,0.7041268139226854,0.09985920300366925,0.20192307692307693,0.0,1,0.5,discrete_compact_offset0,104,104,0.8984375,1.0,1.0,0.7041268139226854,0.09985920300366925,0.20192307692307693,0.0,1,0.5,0,0.0,0.0
handles.nsemaphore,512,0.0,1.0,1.21875,0.7992274222335928,0.03893250277327417,0.26953125,0.9999786671217681,624,0.5,keep_current,624,624,0.390625,1.0,1.0,0.8012217111358376,0.038164519156924655,0.3189102564102564,0.9999573342435362,623,0.5048076923076923,112,0.001994288902244845,0.04937900641025639
handles.ntimer,123,0.759765625,1.0,1.0,0.7453838702633432,0.08565150610120317,0.24390243902439024,0.0,1,0.4959349593495935,discrete_compact_offset0,123,123,0.8798828125,1.0,1.0,0.7453838702633432,0.08565150610120317,0.24390243902439024,0.0,1,0.4959349593495935,0,0.0,0.0
handles.nsection,512,0.0,1.0,1.1953125,0.7928771230914666,0.06069203856984384,0.234375,0.9999786671217681,612,0.5,keep_current,612,62,0.939453125,0.10130718954248366,9.870967741935484,0.6968241013472645,0.16321785135250447,0.27419354838709675,0.9999573342435362,611,0.4838709677419355,-450,-0.09605302174420216,0.03981854838709675
handles.nmutant,405,0.208984375,1.0,1.0,0.8406808847073096,0.0551668231077737,0.145679012345679,0.9999786671217681,405,0.5012345679012346,keep_current,405,405,0.6044921875,1.0,1.0,0.8406808847073096,0.0551668231077737,0.145679012345679,0.805380151890093,5,0.5012345679012346,0,0.0,0.0
ldrmodules.not_in_load,145,0.716796875,1.0,1.0,0.7895089801002002,0.07080382285177916,0.2,0.9738032255311887,78,0.4896551724137931,keep_current,145,145,0.8583984375,1.0,1.0,0.7895089801002002,0.07080382285177916,0.2,0.9999360013653043,144,0.5103448275862069,0,0.0,0.0
ldrmodules.not_in_init,180,0.6484375,1.0,1.0,0.8092464216563752,0.05107091048724294,0.2111111111111111,0.9982080382285178,170,0.4888888888888889,keep_current,180,180,0.82421875,1.0,1.0,0.8092464216563752,0.05107091048724294,0.2111111111111111,0.9686406689990613,82,0.4888888888888889,0,0.0,0.0
ldrmodules.not_in_mem,145,0.716796875,1.0,1.0,0.789586786756279,0.07059049406945986,0.2,0.9738032255311887,78,0.4896551724137931,keep_current,145,145,0.8583984375,1.0,1.0,0.789586786756279,0.07059049406945986,0.2,0.9999360013653043,144,0.5103448275862069,0,0.0,0.0
ldrmodules.not_in_load_avg,512,0.0,1.0,30.1640625,0.9261698233703296,0.019114258895810223,0.0,0.9999786671217681,15444,0.5,rank_replaced_by_abs_uniform_control,15444,164,0.83984375,0.16015625,94.17073170731707,0.6863519021384357,0.09188070654492704,0.6158536585365854,0.9999573342435362,15319,0.4817073170731707,-348,-0.23981792123189394,0.6158536585365854
ldrmodules.not_in_init_avg,512,0.0,1.0,30.423828125,0.9390541473754485,0.026687430668145745,0.0,0.9997226725829849,1948,0.5,rank_replaced_by_abs_uniform_control,15577,196,0.80859375,0.19140625,79.47448979591837,0.6211098683497196,0.08605683078760987,0.7040816326530612,0.9999573342435362,15454,0.4744897959183674,-316,-0.31794427902572886,0.7040816326530612
ldrmodules.not_in_mem_avg,512,0.0,1.0,30.1640625,0.9256344286247992,0.019114258895810223,0.0,0.9999786671217681,15444,0.5,rank_replaced_by_abs_uniform_control,15444,164,0.83984375,0.16015625,94.17073170731707,0.6862663014179593,0.09207270244901442,0.6158536585365854,0.9999573342435362,15318,0.47560975609756095,-348,-0.23936812720683986,0.6158536585365854
malfind.ninjections,111,0.783203125,1.0,1.0,0.414439567232933,0.4242896151548767,0.44144144144144143,0.0,1,0.4954954954954955,discrete_compact_offset0,111,111,0.8916015625,1.0,1.0,0.414439567232933,0.4242896151548767,0.44144144144144143,0.0,1,0.4954954954954955,0,0.0,0.0
malfind.commitCharge,488,0.046875,1.0,1.0,0.3960846711131229,0.32654236709616863,0.7049180327868853,0.9893975595187303,488,0.5,keep_current,488,121,0.8818359375,0.24795081967213115,4.033057851239669,0.06114704583331559,0.9515956992917485,0.7272727272727273,0.9893762266404983,487,0.4380165289256198,-367,-0.3349376252798073,0.02235469448584204
malfind.protection,203,0.603515625,1.0,1.0,0.4320945804859872,0.4135591774042154,0.3842364532019704,0.9897388855704412,203,0.3842364532019704,keep_current,203,123,0.8798828125,0.6059113300492611,1.6504065040650406,0.4332614072738257,0.4177617544159058,0.4065040650406504,0.9897175526922092,201,0.5203252032520326,-80,0.0011668267878385263,0.02226761183867998
malfind.uniqueInjections,512,0.0,1.0,8.6953125,0.4081501547524259,0.4274468811332025,0.0,0.5727237818926529,4452,0.5,rank_replaced_by_abs_uniform_control,4452,144,0.859375,0.140625,30.916666666666668,0.3843564349356226,0.429452171687004,0.5694444444444444,0.572702449014421,4439,0.5138888888888888,-368,-0.023793719816803283,0.5694444444444444
psxview.not_in_pslist,40,0.921875,1.0,1.0,0.48112950985662273,0.4979307108115027,0.225,0.0,1,0.5,discrete_compact_offset0,40,40,0.9609375,1.0,1.0,0.48112950985662273,0.4979307108115027,0.225,0.0,1,0.5,0,0.0,0.0
psxview.not_in_eprocess_pool,2,0.99609375,1.0,1.0,0.02256870316578253,0.9978027135421111,0.0,0.0,1,0.5,discrete_compact_offset0,2,2,0.998046875,1.0,1.0,0.02256870316578253,0.9978027135421111,0.0,0.0,1,0.5,0,0.0,0.0
psxview.not_in_ethread_pool,78,0.84765625,1.0,1.0,0.4418943899258692,0.43839064766618313,0.5384615384615384,0.0,1,0.5,discrete_compact_offset0,78,78,0.923828125,1.0,1.0,0.4418943899258692,0.43839064766618313,0.5384615384615384,0.0,1,0.5,0,0.0,0.0
psxview.not_in_pspcid_list,40,0.921875,1.0,1.0,0.4812722049435046,0.4978667121768069,0.225,0.0,1,0.5,discrete_compact_offset0,40,40,0.9609375,1.0,1.0,0.4812722049435046,0.4978667121768069,0.225,0.0,1,0.5,0,0.0,0.0
psxview.not_in_csrss_handles,78,0.84765625,1.0,1.0,0.44227375658034435,0.437494666780442,0.5384615384615384,0.0,1,0.5,discrete_compact_offset0,78,78,0.923828125,1.0,1.0,0.44227375658034435,0.437494666780442,0.5384615384615384,0.0,1,0.5,0,0.0,0.0
psxview.not_in_session,40,0.921875,1.0,1.0,0.4810606180111996,0.49810137383735814,0.225,0.0,1,0.5,discrete_compact_offset0,40,40,0.9609375,1.0,1.0,0.4810606180111996,0.49810137383735814,0.225,0.0,1,0.5,0,0.0,0.0
psxview.not_in_deskthrd,82,0.83984375,1.0,1.0,0.4825476873298571,0.3869357453707654,0.5121951219512195,0.0,1,0.5,discrete_compact_offset0,82,82,0.919921875,1.0,1.0,0.4825476873298571,0.3869357453707654,0.5121951219512195,0.0,1,0.5,0,0.0,0.0
psxview.not_in_pslist_false_avg,512,0.0,1.0,15.197265625,0.5649092917914776,0.4458144892908951,0.0,0.5544841710043519,1946,0.5,rank_replaced_by_abs_uniform_control,7781,569,0.4443359375,0.5556640625,13.674868189806679,0.5420011677532909,0.44681713456779587,0.29701230228471004,0.5544841710043519,7743,0.5026362038664324,57,-0.02290812403818676,0.29701230228471004
psxview.not_in_eprocess_pool_false_avg,159,0.689453125,1.0,1.0,0.010955484576625277,0.9949227749808004,0.9559748427672956,0.00507722501919959,159,0.5094339622641509,keep_current,159,145,0.8583984375,0.9119496855345912,1.096551724137931,0.011063447230060077,0.9949227749808004,0.9517241379310345,0.005034559262735728,158,0.47586206896551725,-14,0.0001079626534348007,-0.00425070483626111
psxview.not_in_ethread_pool_false_avg,512,0.0,1.0,16.30078125,0.6078890526288423,0.38785305913473844,0.0,0.6124882669169724,8346,0.5,rank_replaced_by_abs_uniform_control,8346,532,0.48046875,0.51953125,15.68796992481203,0.5693216561328808,0.3893250277327417,0.41353383458646614,0.6124669340387405,8287,0.4906015037593985,20,-0.038567396495961526,0.41353383458646614
psxview.not_in_pspcid_list_false_avg,512,0.0,1.0,15.201171875,0.5651203929512788,0.4457504906561993,0.0,0.5545481696390477,3892,0.5,rank_replaced_by_abs_uniform_control,7783,358,0.650390625,0.349609375,21.74022346368715,0.5501241762669746,0.44796910999232015,0.2877094972067039,0.5409164604488438,7701,0.5,-154,-0.014996216684304176,0.2877094972067039
psxview.not_in_csrss_handles_false_avg,512,0.0,1.0,18.47265625,0.765277320469504,0.06188667975083198,0.0,0.9999786671217681,9458,0.5,rank_replaced_by_abs_uniform_control,9458,546,0.466796875,0.533203125,17.32234432234432,0.7195701266236822,0.06348664561822681,0.38461538461538464,0.9999573342435362,9424,0.5,34,-0.04570719384582178,0.38461538461538464
psxview.not_in_session_false_avg,512,0.0,1.0,18.669921875,0.7579223476549959,0.06446795801689564,0.0,0.9999573342435362,4780,0.5,rank_replaced_by_abs_uniform_control,9559,607,0.4072265625,0.5927734375,15.747940691927512,0.7111152060239037,0.06811588019455585,0.3261943986820428,0.9999573342435362,9513,0.514003294892916,95,-0.04680714163109223,0.3261943986820428
psxview.not_in_deskthrd_false_avg,512,0.0,1.0,18.857421875,0.7731383545067176,0.06139602355149757,0.0,0.9938987968256677,4828,0.5,rank_replaced_by_abs_uniform_control,9655,567,0.4462890625,0.5537109375,17.02821869488536,0.7270295878206029,0.06273999488010923,0.36860670194003525,0.9999573342435362,9588,0.5114638447971781,55,-0.046108766686114744,0.36860670194003525
modules.nmodules,3,0.994140625,1.0,1.0,0.14893518717180834,0.9614088232784367,0.3333333333333333,0.0,1,0.3333333333333333,discrete_compact_offset0,3,3,0.9970703125,1.0,1.0,0.14893518717180834,0.9614088232784367,0.3333333333333333,0.0,1,0.3333333333333333,0,0.0,0.0
svcscan.nservices,30,0.94140625,1.0,1.0,0.34744347878889764,0.4652274084819524,0.5333333333333333,0.0,1,0.5,discrete_compact_offset0,30,30,0.970703125,1.0,1.0,0.34744347878889764,0.4652274084819524,0.5333333333333333,0.0,1,0.5,0,0.0,0.0
svcscan.kernel_drivers,19,0.962890625,1.0,1.0,0.28582173062486177,0.4982080382285178,0.631578947368421,0.0,1,0.47368421052631576,discrete_compact_offset0,19,19,0.9814453125,1.0,1.0,0.28582173062486177,0.4982080382285178,0.631578947368421,0.0,1,0.47368421052631576,0,0.0,0.0
svcscan.fs_drivers,10,0.98046875,1.0,1.0,0.003866070213091662,0.9990400204795631,0.7,0.0,1,0.5,discrete_compact_offset0,10,10,0.990234375,1.0,1.0,0.003866070213091662,0.9990400204795631,0.7,0.0,1,0.5,0,0.0,0.0
svcscan.process_services,14,0.97265625,1.0,1.0,0.32624826091225567,0.590664732485707,0.42857142857142855,0.0,1,0.5,discrete_compact_offset0,14,14,0.986328125,1.0,1.0,0.32624826091225567,0.590664732485707,0.42857142857142855,0.0,1,0.5,0,0.0,0.0
svcscan.shared_process_services,22,0.95703125,1.0,1.0,0.2762666726609017,0.4982080382285178,0.6363636363636364,0.0,1,0.5,discrete_compact_offset0,22,22,0.978515625,1.0,1.0,0.2762666726609017,0.4982080382285178,0.6363636363636364,0.0,1,0.5,0,0.0,0.0
svcscan.interactive_process_services,1,0.998046875,1.0,1.0,0.0,1.0,0.0,1.0,1,0.0,constant,1,1,0.9990234375,1.0,1.0,0.0,1.0,0.0,0.0,1,0.0,0,0.0,0.0
svcscan.nactive,34,0.93359375,1.0,1.0,0.6257817858570436,0.24310948033108626,0.4117647058823529,0.0,1,0.5,discrete_compact_offset0,34,34,0.966796875,1.0,1.0,0.6257817858570436,0.24310948033108626,0.4117647058823529,0.0,1,0.5,0,0.0,0.0
callbacks.ncallbacks,13,0.974609375,1.0,1.0,0.44011199341175156,0.42770287567198567,0.3076923076923077,0.0,1,0.46153846153846156,discrete_compact_offset0,13,13,0.9873046875,1.0,1.0,0.44011199341175156,0.42770287567198567,0.3076923076923077,0.0,1,0.46153846153846156,0,0.0,0.0
callbacks.nanonymous,2,0.99609375,1.0,1.0,0.009929783324449003,0.9991466848707228,0.0,0.0,1,0.5,discrete_compact_offset0,2,2,0.998046875,1.0,1.0,0.009929783324449003,0.9991466848707228,0.0,0.0,1,0.5,0,0.0,0.0
callbacks.ngeneric,2,0.99609375,1.0,1.0,0.0018398586095722102,0.9998720027306084,0.0,0.0,1,0.5,discrete_compact_offset0,2,2,0.998046875,1.0,1.0,0.0018398586095722102,0.9998720027306084,0.0,0.0,1,0.5,0,0.0,0.0
